		Document: 7187			with 27008 symbols, 3172 words and 7025 tokens processed in 10.98643159866333 sec
		Document: 7186			with 21057 symbols, 2466 words and 5634 tokens processed in 10.305505275726318 sec
		Document: 7185			with 27499 symbols, 3186 words and 6940 tokens processed in 11.185271978378296 sec
		Document: 7184			with 27458 symbols, 3393 words and 7457 tokens processed in 10.956501483917236 sec
		Document: 7183			with 25005 symbols, 3174 words and 6876 tokens processed in 14.127341985702515 sec
		Document: 7182			with 11575 symbols, 1355 words and 2929 tokens processed in 4.302679538726807 sec
		Document: 7181			with 34798 symbols, 4464 words and 9466 tokens processed in 17.33350658416748 sec
		Document: 7180			with 18415 symbols, 2306 words and 5186 tokens processed in 7.8966169357299805 sec
		Document: 7179			with 21059 symbols, 2790 words and 5981 tokens processed in 10.135441303253174 sec
		Document: 7178			with 19183 symbols, 2336 words and 5177 tokens processed in 7.964648723602295 sec
		Document: 7177			with 14037 symbols, 1537 words and 3348 tokens processed in 5.619632244110107 sec
		Document: 7176			with 28149 symbols, 3666 words and 7957 tokens processed in 13.060245037078857 sec
		Document: 7175			with 31346 symbols, 3961 words and 8479 tokens processed in 14.806816577911377 sec
		Document: 7174			with 17746 symbols, 2233 words and 4939 tokens processed in 8.243160009384155 sec
		Document: 7173			with 17061 symbols, 2099 words and 4408 tokens processed in 6.565186977386475 sec
		Document: 7172			with 17665 symbols, 2339 words and 4941 tokens processed in 8.784780740737915 sec
		Document: 7171			with 20792 symbols, 2490 words and 5532 tokens processed in 10.538989067077637 sec
		Document: 7170			with 15954 symbols, 1897 words and 4085 tokens processed in 5.364116191864014 sec
		Document: 7169			with 25427 symbols, 3106 words and 6841 tokens processed in 12.017053842544556 sec
		Document: 7168			with 21140 symbols, 2677 words and 5760 tokens processed in 11.488147258758545 sec
		Document: 7167			with 25087 symbols, 3134 words and 6470 tokens processed in 9.50999665260315 sec
		Document: 7166			with 6662 symbols, 843 words and 1792 tokens processed in 2.9369771480560303 sec
		Document: 7165			with 13863 symbols, 1677 words and 3693 tokens processed in 5.666019439697266 sec
		Document: 7164			with 25700 symbols, 3108 words and 6937 tokens processed in 11.024967193603516 sec
		Document: 7163			with 23904 symbols, 2906 words and 6538 tokens processed in 12.821559190750122 sec
		Document: 7162			with 18752 symbols, 2216 words and 4889 tokens processed in 7.585241079330444 sec
		Document: 7161			with 13532 symbols, 1681 words and 3653 tokens processed in 6.328052759170532 sec
		Document: 7160			with 14655 symbols, 1858 words and 3989 tokens processed in 8.526675939559937 sec
		Document: 7159			with 21777 symbols, 2750 words and 6015 tokens processed in 12.281014442443848 sec
		Document: 7158			with 13618 symbols, 1676 words and 3663 tokens processed in 6.440985679626465 sec
		Document: 7157			with 24235 symbols, 3021 words and 6370 tokens processed in 12.21047329902649 sec
		Document: 7156			with 23034 symbols, 3106 words and 6757 tokens processed in 11.505650758743286 sec
		Document: 7155			with 15061 symbols, 1733 words and 3622 tokens processed in 7.452653408050537 sec
		Document: 7154			with 10815 symbols, 1337 words and 3074 tokens processed in 5.082317590713501 sec
		Document: 7153			with 22961 symbols, 2871 words and 6141 tokens processed in 10.002269983291626 sec
		Document: 7152			with 16285 symbols, 1958 words and 4234 tokens processed in 8.453406810760498 sec
		Document: 7151			with 37116 symbols, 4748 words and 10636 tokens processed in 19.140029907226562 sec
		Document: 7150			with 19017 symbols, 2354 words and 5135 tokens processed in 7.707952976226807 sec
		Document: 7149			with 20488 symbols, 2322 words and 5073 tokens processed in 8.017395973205566 sec
		Document: 7148			with 22546 symbols, 2685 words and 5873 tokens processed in 10.794450998306274 sec
		Document: 7147			with 17208 symbols, 2137 words and 4670 tokens processed in 7.657583236694336 sec
		Document: 7146			with 16852 symbols, 2219 words and 4733 tokens processed in 8.510814666748047 sec
		Document: 7145			with 29608 symbols, 3697 words and 8166 tokens processed in 15.074053525924683 sec
		Document: 7144			with 12628 symbols, 1545 words and 3364 tokens processed in 6.874995470046997 sec
		Document: 7143			with 5436 symbols, 718 words and 1543 tokens processed in 3.5519211292266846 sec
		Document: 7142			with 19632 symbols, 2464 words and 5308 tokens processed in 8.484386205673218 sec
		Document: 7141			with 21394 symbols, 2698 words and 5965 tokens processed in 9.086060047149658 sec
